,title_ru,title_eng,year,genre,duration,country,director,quote,main_actors,rating_KinoPoisk,rating_IMDB,description
10,Изгой,Cast Away,2000,"драма, мелодрама, приключения",143 мин.,США,Роберт Земекис,"«At the edge of the world, his journey begins»","Том Хэнкс, Хелен Хант, Крис Нот, Ник Сирси, Дженифер Льюис",8.251,7.8,"Инспектор логистической компании FedEx Чак Ноланд - трудоголик, у которого нет времени даже на собственную невесту. Во время очередной командировки самолет с Ноландом падает в Тихий океан. Чак, единственный, кому посчастливилось спастись, оказывается на необитаемом острове, где ему придется бороться за выживание...."
11,Бойцовский клуб,Fight Club,1999,"триллер, драма, криминал",139 мин.,"США, Германия",Дэвид Финчер,«Интриги. Хаос. Мыло»,"Эдвард Нортон, Брэд Питт, Хелена Бонем Картер, Мит Лоаф, Зэк Гренье",8.644,8.8,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена - харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование - удел слабых, а единственное, ради чего стоит жить - саморазрушение.Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью...."
12,Остров проклятых,Shutter Island,2009,"триллер, детектив, драма",138 мин.,США,Мартин Скорсезе,«Some places never let you go»,"Леонардо ДиКаприо, Марк Руффало, Бен Кингсли, Макс фон Сюдов, Мишель Уильямс",8.501,8.2,"Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники...."
13,Зеленая книга,Green Book,2018,"биография, комедия, драма",130 мин.,"США, Китай",Питер Фаррелли,«Inspired by a True Friendship»,"Вигго Мортенсен, Махершала Али, Линда Карделлини, Себастьян Манискалко, Димитар Маринов",8.361,8.2,"1960-е годы. После закрытия нью-йоркского ночного клуба на ремонт вышибала Тони по прозвищу Болтун ищет подработку на пару месяцев. Как раз в это время Дон Ширли - утонченный светский лев, богатый и талантливый чернокожий музыкант, исполняющий классическую музыку - собирается в турне по южным штатам, где ещё сильны расистские убеждения и царит сегрегация. Он нанимает Тони в качестве водителя, телохранителя и человека, способного решать текущие проблемы. У этих двоих так мало общего, и эта поездка навсегда изменит жизнь обоих...."
14,Волк с Уолл-стрит,The Wolf of Wall Street,2013,"драма, криминал, биография, комедия",180 мин.,США,Мартин Скорсезе,«Earn. Spend. Party»,"Леонардо ДиКаприо, Джона Хилл, Марго Робби, Кайл Чандлер, Роб Райнер",7.933,8.2,"1987 год. Джордан Белфорт становится брокером в успешном инвестиционном банке. Вскоре банк закрывается после внезапного обвала индекса Доу-Джонса. По совету жены Терезы Джордан устраивается в небольшое заведение, занимающееся мелкими акциями. Его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. Он знакомится с соседом по дому Донни, торговцем, который сразу находит общий язык с Джорданом и решает открыть с ним собственную фирму. В качестве сотрудников они нанимают нескольких друзей Белфорта, его отца Макса и называют компанию «Стрэттон Оукмонт». В свободное от работы время Джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. Однажды наступает момент, когда быстрым обогащением Белфорта начинает интересоваться агент ФБР......"
15,Бриллиантовая рука,-,1968,"комедия, криминал",94 мин.,СССР,Леонид Гайдай,«Кинороман в 2-ух частях из жизни контрабандистов»,"Юрий Никулин, Андрей Миронов, Анатолий Папанов, Нина Гребешкова, Станислав Чекан",8.508,8.3,"В южном городке орудует шайка валютчиков, возглавляемая Шефом и его помощником Графом (в быту - Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе, где также плывет Граф, который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но из-за недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович, и драгоценный гипс накладывают ему...."
16,Апокалипсис,Apocalypto,2006,"боевик, триллер, драма, приключения",139 мин.,"США, Мексика, Великобритания",Мэл Гибсон,«Империя майя. Участь предрешена»,"Руди Янгблад, Далия Эрнандес, Джонатан Брюэр, Моррис Бердйеллоухэд, Карлос Эмилио Баэс",7.966,7.8,"В фильме показана жизнь цивилизации майя до прихода испанских конкистадоров: жестокие войны с соседними племенами, человеческие жертвоприношения, загадочные мистические ритуалы. В один день рушится мир индейца по имени Лапа Ягуара. Его деревню захватывает соседнее племя, уничтожая хижины, забирая местных жителей в плен. Его ведут в город, чтобы принести в жертву богам. Перед лицом неминуемой смерти Лапа Ягуара должен побороть свои самые сильные страхи и совершить отчаянный рывок, чтобы спасти то, что ему дорого......"
17,Джентльмены,The Gentlemen,2019,"криминал, комедия, боевик",113 мин.,"Великобритания, США",Гай Ричи,«Criminal. Class»,"Мэттью МакКонахи, Чарли Ханнэм, Генри Голдинг, Хью Грант, Мишель Докери",8.509,7.8,"Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира - партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха...."
18,Области тьмы,Limitless,2011,"триллер, драма, фантастика",105 мин.,США,Нил Бёргер,«Что если одна таблетка NZT сделает тебя богатым и могущественным? Узнай о побочных эффектах»,"Брэдли Купер, Роберт Де Ниро, Эбби Корниш, Эндрю Ховард, Анна Фрил",7.984,7.4,"Нью-йоркский писатель Эдди, желая преодолеть чёрную полосу в жизни, принимает засекреченный препарат под названием NZT. Таблетка выводит мозг парня на работу в нереальной мощности. Этот творческий наркотик меняет всю жизнь Эдди, за короткий срок он зарабатывает кучу денег, но скоро начинает страдать от зловещих побочных эффектов препарата. А когда пытается найти других NZT-гениев, чтобы понять, как можно справиться с этим пристрастием, он узнает страшную правду…..."
19,Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,драма,133 мин.,США,Милош Форман,"«If he's crazy, what does that make you?»","Джек Николсон, Луиза Флетчер, Уилл Сэмпсон, Брэд Дуриф, Уильям Редфилд",8.524,8.7,"Рэндла Патрика Макмёрфи, патологического преступника и бунтаря, переводят из колонии в психиатрическую клинику, чтобы установить, является он душевнобольным или нет. В клинике он обнаруживает, что отделение контролирует хладнокровная, строгая и одержимая распорядком старшая медсестра Милдред Рэтчед. Макмёрфи намерен не подчиняться абсурдным, на его взгляд, правилам и одновременно повеселиться от души. Его бунтарская натура заражает других пациентов, но сестра Рэтчед решительно настроена пресечь это...."
20,Чего хотят женщины,What Women Want,2000,"мелодрама, комедия, фэнтези",127 мин.,США,Нэнси Майерс,«He has the power to hear everything women are thinking. Finally... a man is listening»,"Мэл Гибсон, Хелен Хант, Мариса Томей, Лорен Холли, Марк Фойерстин",7.69,6.4,"Сексапильный Ник Маршал находится на пике карьеры в рекламном агентстве и рассчитывает на повышение, но его место занимает Дарси Макгуайр. Однажды с Ником происходит несчастный случай, после которого он начинает читать женские мысли. С помощью этого дара плейбой хочет вернуть утраченные позиции на работе, но вместо этого находит свою любовь...."
21,Престиж,The Prestige,2006,"триллер, фантастика, драма, детектив",125 мин.,"Великобритания, США",Кристофер Нолан,"«Дружба, ставшая соперничеством. Соперничество, превратившееся во вражду»","Хью Джекман, Кристиан Бэйл, Майкл Кейн, Пайпер Перабо, Ребекка Холл",8.519,8.5,"Роберт и Альфред - фокусники-иллюзионисты, которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.Они готовы на все, чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда, вспыхнувшая между ними, начинает угрожать жизни окружающих их людей…..."
22,"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",1998,"боевик, комедия, криминал",107 мин.,Великобритания,Гай Ричи,«They lost half a million at cards but they've still got a few tricks up their sleeve»,"Джейсон Флеминг, Декстер Флетчер, Ник Моран, Джейсон Стэйтем, Стивен Макинтош",5.778,8.2,"Четверо молодых парней накопили каждый по 25 тысяч фунтов, чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником, известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч, на уплату долга ему дали неделю.В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу, а потом... Чтобы выйти из положения, ребята решили ограбить бандитов, решивших ограбить трех «ботаников», выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются......"
23,Иллюзионист,The Illusionist,2005,"драма, фэнтези, триллер, мелодрама, детектив",110 мин.,"США, Чехия",Нил Бёргер,«Всё иллюзорно... Кроме любви»,"Эдвард Нортон, Пол Джаматти, Джессика Бил, Руфус Сьюэлл, Эдди Марсан",8.005,7.6,"Вена. Начало 20 века. В городе появляется загадочный человек, называвший себя иллюзионистом Эйзенхаймом. Он показывает публике невиданные фокусы, которые кажутся не иначе как волшебством. Слава о необыкновенном чародее доходит до кронпринца Леопольда, который почтил своим присутствием одно из представлений Эйзенхайма. Леопольда сопровождает его будущая невеста Софи. Её появление в зале дает толчок для целой вереницы необъяснимых событий, корни которых уходят в прошлое......"
24,От заката до рассвета,From Dusk Till Dawn,1995,"ужасы, боевик, фэнтези, триллер, комедия, криминал",108 мин.,"США, Мексика",Роберт Родригес,«How far can Too Far go?»,"Джордж Клуни, Квентин Тарантино, Харви Кейтель, Джульетт Льюис, Эрнест Лю",5.048,7.2,"Спасаясь от полиции после ограбления банка, два брата - грабителя берут в заложники священника и его детей. Около американской границы они решают провести ночь в придорожном баре. Тут-то всё и начинается......"
25,Время,In Time,2011,"фантастика, мелодрама, боевик",109 мин.,США,Эндрю Никкол,"«Живи вечно или умри, пытаясь»","Джастин Тимберлейк, Аманда Сайфред, Киллиан Мёрфи, Алекс Петтифер, Винсент Картайзер",7.274,6.7,"Добро пожаловать в мир, где время стало единственной и самой твердой валютой, где люди генетически запрограммированы так, что в 25 лет перестают стареть. Правда, последующие годы стоят денег. И вот богатые становятся практически бессмертными, а бедные обречены сражаться за жизнь. Уилл, бунтарь из гетто, несправедливо обвинен в убийстве с целью грабежа времени и теперь вынужден, захватив заложницу, пуститься в бега...."
26,Назад в будущее 2,Back to the Future Part II,1989,"фантастика, приключения, боевик, комедия, семейный",108 мин.,США,Роберт Земекис,«Все это о времени»,"Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Томас Ф. Уилсон, Элизабет Шу",8.637,7.8,"Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.Дети Марти в беде, и их надо выручать. Приходится повозиться со злодеем......"
27,Такси,Taxi,1998,"боевик, комедия, криминал",86 мин.,Франция,Жерар Пирес,-,"Сами Насери, Фредерик Дифенталь, Марион Котийяр, Эмма Виклунд, Бернар Фарси",7.646,6.9,"Таксист Даниэль помешан на быстрой езде. Как ураган проносится он по извилистым улицам Марселя на мощном ревущем «Пежо», пугая прохожих и приводя в ужас пассажиров. Начинающий следователь Эмильен вынуждает его помогать в поимке банды грабителей банков, каждый раз ускользающих от полиции на неуловимых «Мерседесах»...."
28,Кин-дза-дза!,-,1986,"фантастика, драма, комедия",135 мин.,СССР,Георгий Данелия,-,"Станислав Любшин, Евгений Леонов, Юрий Яковлев, Леван Габриадзе, Ольга Машная",7.972,8,"Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическими путешествиями. А все эта встреча со странным босоногим человеком с каким-то маленьким устройством - «машинкой перемещения», как тот ее назвал. Короче, нажал на кнопку и оказался вместе со случайным попутчиком, студентом в кроличьей шапке, в пустыне, и не в каких-нибудь Каракумах, а на планете-пустыне Плюк в тентуре, галактика Кин-дза-дза в спирали...."
29,Аватар,Avatar,2009,"фантастика, боевик, драма, приключения",162 мин.,США,Джеймс Кэмерон,«Это новый мир»,"Сэм Уортингтон, Зои Салдана, Сигурни Уивер, Стивен Лэнг, Мишель Родригес",7.953,7.8,"Бывший морпех Джейк Салли прикован к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора, где корпорации добывают редкий минерал, имеющий огромное значение для выхода Земли из энергетического кризиса...."
30,Матрица,The Matrix,1999,"фантастика, боевик",136 мин.,"США, Австралия","Лана Вачовски, Лилли Вачовски",«Добро пожаловать в реальный мир»,"Киану Ривз, Лоренс Фишбёрн, Кэрри-Энн Мосс, Хьюго Уивинг, Глория Фостер",7.659,8.7,"Жизнь Томаса Андерсона разделена на две части: днём он - самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог проникнуть. Но однажды всё меняется. Томас узнаёт ужасающую правду о реальности...."
31,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,"фэнтези, приключения, драма",178 мин.,"Новая Зеландия, США",Питер Джексон,«Power can be held in the smallest of things...»,"Элайджа Вуд, Иэн Маккеллен, Шон Эстин, Вигго Мортенсен, Билли Бойд",8.592,8.8,"Сказания о Средиземье - это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу. Тихая деревня, где живут хоббиты. Придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу, волшебник Гэндальф начинает вести разговор о кольце, которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону, и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает Кольцо племяннику Фродо, чтобы тот отнёс его к Роковой Горе и уничтожил...."
32,Гладиатор,Gladiator,2000,"история, боевик, драма, приключения",155 мин.,"США, Великобритания, Мальта, Марокко",Ридли Скотт,"«Генерал, ставший рабом. Раб, ставший гладиатором. Гладиатор, бросивший вызов империи»","Рассел Кроу, Хоакин Феникс, Конни Нильсен, Оливер Рид, Ричард Харрис",8.578,8.5,"В великой Римской империи не было военачальника, равного генералу Максимусу. Непобедимые легионы, которыми командовал этот благородный воин, боготворили его и могли последовать за ним даже в ад.Но случилось так, что отважный Максимус, готовый сразиться с любым противником в честном бою, оказался бессилен против вероломных придворных интриг. Генерала предали и приговорили к смерти. Чудом избежав гибели, Максимус становится гладиатором.Быстро снискав себе славу в кровавых поединках, он оказывается в знаменитом римском Колизее, на арене которого он встретится в смертельной схватке со своим заклятым врагом......"
33,Назад в будущее 3,Back to the Future Part III,1990,"фантастика, комедия, приключения, вестерн",118 мин.,США,Роберт Земекис,«Лучшее путешествие они оставили напоследок... Но в этот раз они зашли слишком далеко...»,"Майкл Дж. Фокс, Кристофер Ллойд, Мэри Стинберген, Томас Ф. Уилсон, Лиа Томпсон",8.635,7.4,"Несмотря на просьбы Дока не навещать его в XIX веке, Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год, навстречу Дикому Западу. Это путешествие, как и все прежние, не обходится без опасных приключений, но смелый Марти, рискуя жизнью, предотвращает трагедию в жизни Эммета Брауна. Тот, в свою очередь, без памяти влюбляется в очаровательную незнакомку, которую спасает от гибели, и поездка домой - в будущее - теряет для него всякий смысл...."
34,Игры разума,A Beautiful Mind,2001,"драма, биография, мелодрама",135 мин.,США,Рон Ховард,"«If reality has ganged up on you, nothing is safe anymore...»","Рассел Кроу, Эд Харрис, Дженнифер Коннелли, Кристофер Пламмер, Пол Беттани",8.548,8.2,"От всемирной известности до греховных глубин - все это познал на своей шкуре Джон Форбс Нэш-младший. Математический гений, он на заре своей карьеры сделал титаническую работу в области теории игр, которая перевернула этот раздел математики и практически принесла ему международную известность.Однако буквально в то же время заносчивый и пользующийся успехом у женщин Нэш получает удар судьбы, который переворачивает уже его собственную жизнь...."
35,В бой идут одни «старики»,-,1973,"военный, драма, комедия",87 мин.,СССР,Леонид Быков,-,"Леонид Быков, Сергей Подгорный, Сергей Иванов, Рустам Сагдуллаев, Евгения Симонова",8.713,8.3,"Эта эскадрилья стала «поющей» - так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати, но «желторотиков», пополнение из летных училищ ускоренного выпуска, в бой все равно, по возможности, не пускали. Им еще многое предстояло испытать - и жар боев, и радость первой победы над врагом, и величие братства, скрепленного кровью, и первую любовь, и горечь утраты... И настанет день, когда по команде «в бой идут одни старики» бывшие желторотики бросятся к своим самолетам......"
36,Люди в чёрном,Men in Black,1997,"фантастика, боевик, комедия, приключения",98 мин.,США,Барри Зонненфельд,«Они защищают Землю от отбросов Вселенной»,"Томми Ли Джонс, Уилл Смит, Линда Фиорентино, Винсент Д'Онофрио, Рип Торн",7.293,7.3,"Они - самый большой секрет Земли. Они работают на неофициальное правительственное агентство, регулирующее деятельность инопланетян на Земле.Они - это лучшая, последняя и единственная линия защиты Земли от отбросов вселенной. Их работа секретна, их оружие совершенно, им нет равных, они не оставляют следов. Они - это Люди в черном...."
37,Терминал,The Terminal,2004,"драма, мелодрама, комедия",124 мин.,США,Стивен Спилберг,«Жизнь - это ожидание»,"Том Хэнкс, Кэтрин Зета-Джонс, Стэнли Туччи, Чи МакБрайд, Диего Луна",8.093,7.4,"Фильм рассказывает историю Виктора Наворски, отправившегося в Нью-Йорк из Восточной Европы. Пока Виктор летел в самолете, на его родине произошел государственный переворот. Оказавшись в международном аэропорту имени Джона Кеннеди с паспортом ниоткуда, он не имеет права въехать в Соединенные Штаты и должен коротать свои дни и ночи на скамейках у выхода 67, пока война в его родной стране не закончится.Тянутся недели и месяцы, и Виктор обнаруживает, что небольшой мирок терминала может быть наполнен абсурдом, щедростью, амбициями, развлечениями, желанием сохранить свой статус, интуитивной прозорливостью и даже любовью к очаровательной стюардессе Амелии. Виктору удается завоевать симпатии всех, кроме одного человека - чиновника аэропорта Фрэнка Диксона, который считает его бюрократической ошибкой, проблемой, которую он не может контролировать, но от которой жаждет избавиться...."
38,Укрощение строптивого,Il bisbetico domato,1980,"мелодрама, комедия",107 мин.,Италия,"Франко Кастеллано, Джузеппе Моччиа",-,"Адриано Челентано, Орнелла Мути, Эдит Питерс, Пиппо Сантонастасо, Милли Карлуччи",8.383,7.6,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его....
